id,text,label
3.51733E+15,国内官场的“外人”当道已经不够看，现在连国家残联主席都是外国人在担任？近日的微博热传，中国残联主席张海迪的户籍不但已由山东青岛迁出，其迁往地还是日本的大阪。这让八○年代被张海迪感动过的新一辈，情何以堪。因此网友强烈要求：“日本人张海迪”应辞去中国残联主席的公职。,1
3.91334E+15,【扩散！冬天绝不能做的十件事！】近日，江苏一个8岁女孩坐母亲的电动车时，脖子上的长丝巾绞进后轮，脖颈被死死勒在牙盘上，险些丧命！①在开暖气的车内睡觉：可能一氧化碳中毒；②加油前没释放静电：可能引火烧身；③机洗羽绒服：可能爆炸……冬天绝不能做的十件事↓为安全，扩散！@人民日报,0
3.91899E+15,【故宫非典型文物雕塑】@故宫淘宝 po了几张故宫非典型雕塑文物的图，张张都是笑点~,0
3.92938E+15,【中国空姐登上南沙永暑礁 网友：娇美礁更美】永暑礁新建机场位于我国南沙永暑礁上，是我国最南端的一座机场。永暑礁远离大陆1400多公里，以往坐船去要航行几十个小时，如今乘民航班机2个小时就够了。#南沙新机场试飞成功#，空姐在永暑礁上自拍，记者用镜头定格下这一画面。O空姐登上永暑礁 娇美礁更美,0
3.89998E+15,"【洛阳幼儿园男童被集体拍裸照 老师：讲解性教育】最近，某幼儿园一组照片引起家长不满，照片中十几个裸体男孩摆出很多造型。家长说老师不应把照片发网上，甚至指责老师变态。老师很委屈,称当时是讲解性教育和做人道理,没恶意。目前，校方和老师已道歉。via @中国新闻网 L河南一幼儿园男童被集体拍裸照 老师：没恶意",0
3.5866E+15,最近很火的延安城管踩人事件：女城管郑媛媛管遭人肉 相册被破解艳照流出 O网页链接,1
3.88907E+15,【村干部被曝饭桌上脱女子衣服】近日，朋友圈疯传不雅视频，一中年男子跟一名长发女子搂抱在一起并试图脱该女性衣服，该男子金表、金戒指等光亮闪闪，而被其脱衣抚摸的长发女子胸部、肚部等已裸。有知情人称当事人为如皋市吴窑镇长西村副书记、村主任陈某明及如皋某娱乐场所妈咪。O网易新闻,0
3.50355E+15,【是谁给了中国人双休日】 1994年前后，中美入世谈判最艰难的时刻，美方突然向中方提出：在全世界都实行双休日的今天，中国必须尊重人权，也给中国人双休日，并把这一项作为入世条件之一。于是，1995年5月1日起，我国开始实行双休日工作制。我们到底应该感谢谁？（转）,1
3.9175E+15,【16岁男孩睡前洗头没吹干 早上变面瘫】前晚，高一学生小飞头发半干就睡觉了。没想到一早醒来，半边脸僵了，嘴巴也直漏水，到医院一查：面瘫了。医生分析天气变冷，人在半夜抵抗力下降，湿头发持续刺激耳后的面神经，痉挛的面神经供血不足，容易出现水肿“罢工”。临睡前和刚起床最好别洗头!,0
3.56988E+15,中国的红十字会啊,1
3.92132E+15,【家长带孩子餐厅吃饭 #拿饭碗替幼童接尿#藏桌下】近日，常州一家长带孩子去餐厅吃饭，家长向前台要了一个空碗给孩子接尿，随后将碗藏到了桌子底下。服务员收拾时发现颜色不对，一闻才知是尿。餐厅负责人气得够呛，“我店开了七八年也从来没碰到过这种事情。”(常州电视台)O网页链接,0
3.87584E+15,都来看看吧！ 心寒hhhhhh人性呢#袁海##天津塘沽大爆炸##天津塘沽大爆炸#,1
3.75974E+15,没想到，中国内地，iPhone6竟由海关首发。。。,1
3.61381E+15,亲爱的微信全国各地的朋友们，家人，亲人们！请大家帮忙转载！辽宁省抚顺市清原县南口前发生特大洪水，山体滑坡！死亡人数正在增加！公安、武警和雷锋团正在夜以继日，全力抢救。需要大量的水、食物、衣服…救救苦难的人们！…谢谢感恩大家…祝顺利度过难关！,1
3.90329E+15,#教育#【在国内，坚持宽松教育有多难？】四十出头的Jenny夫妇毕业于北京大学，他俩希望孩子成长在一个宽松自由的社会氛围中。可是从他们的切身体会来看，在北京的学校体系里寻求宽松教育，简直是一个人与整个体系在作战。→O教育 | 在国内，坚持宽松教育有多难？,0
3.89164E+15,【现场：彭丽媛联合国会议英文演讲】彭丽媛在联合国总部参加“教育第一促进可持续发展”活动，期间全程流利英文发言！她希望所有的孩子特别是女孩都接受良好教育，这就是她的中国梦。彭麻麻棒棒哒！！ 视频：L彭丽媛全程英文谈教育：父曾是夜校校长,0
3.92209E+15,【重庆沉没驳船打捞出水 已找到8具失联人员遗体】17日，长江重庆涪陵段一驳船发生翻沉，共导致9人失联，均为涪陵区义和镇居民。据了解，出事的是涪陵镇安船舶有限公司的“镇安201驳”。19日晚22时许，沉船被打捞出水，经过上船清理，发现8具失联人员遗体。目前，事故原因正在调查中。,0
3.50987E+15,爱心传递：该校需要小孩的衣服，新旧不限：四川藏族地区，也是世界海拔最高的地区。请问周围有没有四到十岁孩子的旧衣服和鞋子，洗干净就可以。因为小朋友衣服少，捐的人少，所以这个岁数的孩子缺衣服。 地址：甘孜藏族自治州石渠县西区长沙贡马乡小学， 邮编：627350校长：达洼18923491809奉献爱心,1
3.91881E+15,【又有南京大屠杀史料公开 转发传递真相！】南京大屠杀国家公祭日前夕，重庆北碚区档案馆首次公布了部分史料：其中，日本一画册封面赫然出现“南京陷落祝贺号”大字；画面显示，日本东京银座街头，悬挂条幅写着“祝南京陷落”五字！By中新网O网页链接勿忘国耻，吾辈自强！转起！,0
